title,artist,peak_position,total_weeks,first_chart_date,main_genre,all_genres,genre_source
Lies Lies Lies,Morgan Wallen,7,2,2025-01-11,Unknown,No genre data,none
St. Chroma,"Tyler, the Creator Featuring Daniel Caesar",7,1,2025-01-11,Unknown,No genre data,none
All The Stars,Kendrick Lamar & SZA,7,5,2025-02-22,Hip Hop/Rap,hip hop; conscious hip hop; jazz rap; west coast hip hop; hardcore hip hop,musicbrainz
I Got Better,Morgan Wallen,7,27,2025-05-31,Country,country,musicbrainz
Folded,Kehlani,7,23,2025-06-28,R&B,neo soul; r&b; adult contemporary r&b; alternative r&b; contemporary r&b,musicbrainz
Actually Romantic,Taylor Swift,7,7,2025-10-18,Country,pop; country; country pop; singer/songwriter; female vocals,musicbrainz
Sleigh Ride,The Ronettes,8,2,2025-01-04,Pop,pop; brill building; girl group; christmas music; doo-wop,musicbrainz
Nuevayol,Bad Bunny,8,20,2025-01-18,Hip Hop/Rap,reggaeton; latin; latin trap; trap latino; hip hop,musicbrainz
I Ain't Coming Back,Morgan Wallen Featuring Post Malone,8,25,2025-05-03,Unknown,No genre data,none
Superman,Morgan Wallen,8,17,2025-05-24,Country,country; country pop,musicbrainz
How It's Done,"HUNTR/X: EJAE, Audrey Nuna & REI AMI",8,21,2025-07-12,Pop,k-pop; pop; offizielle charts; 5+ wochen,musicbrainz
The Life Of A Showgirl,Taylor Swift Featuring Sabrina Carpenter,8,7,2025-10-18,Unknown,No genre data,none
Underneath The Tree,Kelly Clarkson,9,3,2025-01-04,Rock,pop; christmas; holiday; christmas music; rock,musicbrainz
The Christmas Song (Merry Christmas To You),"Nat ""King"" Cole",9,3,2025-01-04,Pop,jazz; vocal jazz; easy listening; swing; pop,musicbrainz
Anxiety,Doechii,9,20,2025-03-22,Hip Hop/Rap,hip hop; pop rap,musicbrainz
Eldest Daughter,Taylor Swift,9,7,2025-10-18,Country,pop; country; country pop; singer/songwriter; female vocals,musicbrainz
Run Rudolph Run,Chuck Berry,10,1,2025-01-04,Rock,rock and roll; rock; blues; blues rock; rhythm & blues,musicbrainz
30 For 30,SZA With Kendrick Lamar,10,36,2025-01-04,R&B,contemporary r&b; r&b; alternative r&b; american; electronic,musicbrainz
Sticky,"Tyler, the Creator Featuring Glorilla, Sexyy Red & Lil Wayne",10,12,2025-01-04,Unknown,No genre data,none
Back To Friends,sombr,10,34,2025-04-12,Rock,2020s; indie pop; pop rock,musicbrainz
Outside,Cardi B,10,19,2025-07-05,Hip Hop/Rap,hip hop; alternative pop; east coast hip hop; pop; hardcore hip hop,musicbrainz
Cancelled!,Taylor Swift,10,7,2025-10-18,Country,pop; country; country pop; singer/songwriter; female vocals,musicbrainz
Mistletoe,Justin Bieber,11,1,2025-01-04,Pop,pop; teen pop; 2010s; 2020s; dance-pop,musicbrainz
Dodger Blue,"Kendrick Lamar Featuring Wallie the Sensei, Siete7x & Roddy Ricch",11,2,2025-01-11,Unknown,No genre data,none
Ruin The Friendship,Taylor Swift,11,7,2025-10-18,Country,pop; country; country pop; singer/songwriter; female vocals,musicbrainz
It's Beginning To Look A Lot Like Christmas,Michael Buble,12,3,2025-01-04,Easy Listening,easy listening; christmas; vocal; swing; holiday,musicbrainz
It's Beginning To Look A Lot Like Christmas,Perry Como And The Fontane Sisters With Mitchell Ayres And His Orchestra,12,1,2025-01-04,Rock,easy listening; adult contemporary; american; big band; classic pop and rock,musicbrainz
White Christmas (1947),Bing Crosby With Ken Darby Singers & John Scott Trotter & His Orchestra,12,1,2025-01-04,Unknown,No genre data,none
Good News,Shaboozey,12,42,2025-01-04,Hip Hop/Rap,country; country pop; hip hop; stomp and holler,musicbrainz
Who,Jimin,12,11,2025-01-11,Pop,pop; kpop,lastfm
Cry For Me,The Weeknd,12,21,2025-02-15,R&B,r&b; alternative r&b; contemporary r&b; dance-pop; synth-pop,musicbrainz
Guess,Charli xcx Featuring Billie Eilish,12,1,2025-02-22,Unknown,No genre data,none
Nobody's Son,Sabrina Carpenter,12,11,2025-09-13,Pop,pop; 2020s; dance-pop; electropop,musicbrainz
Honey,Taylor Swift,12,6,2025-10-18,Country,pop; country; country pop; singer/songwriter; female vocals,musicbrainz
Travelin' Soldier,Cody Johnson,12,2,2025-11-22,Country,country,musicbrainz
Peekaboo,Kendrick Lamar Featuring AzChike,13,28,2025-01-04,Unknown,No genre data,none
Abracadabra,Lady Gaga,13,20,2025-02-15,Rock,pop; dance-pop; electropop; pop rock; electronic,musicbrainz
Bed Chem,Sabrina Carpenter,14,15,2025-01-04,Pop,pop; 2020s; dance-pop; electropop,musicbrainz
Messy,Lola Young,14,29,2025-01-04,R&B,alternative pop; neo soul; 2020s; _private tag 1; pop,musicbrainz
Dancing In The Flames,The Weeknd,14,4,2025-01-04,Pop,pop; synth-pop; synthpop; dance-pop,lastfm
I Am Not Okay,Jelly Roll,14,5,2025-01-11,Country,country,musicbrainz
Christmas (Baby Please Come Home),Darlene Love,15,2,2025-01-04,Pop,likedis auto; pop,musicbrainz
Blue Strips,jessie murph,15,22,2025-04-26,Country,2020s; country pop; country soul,musicbrainz
What It Sounds Like,"HUNTR/X: EJAE, Audrey Nuna & REI AMI",15,21,2025-07-12,Pop,pop; alternative pop; k-pop; offizielle charts; 5+ wochen,musicbrainz
My Man On Willpower,Sabrina Carpenter,15,4,2025-09-13,Pop,pop; 2020s; dance-pop; electropop,musicbrainz
Jingle Bells,Frank Sinatra With The Orchestra & Chorus Of Gordon Jenkins,16,1,2025-01-04,Unknown,No genre data,none
Deck The Halls,Nat King Cole,16,1,2025-01-04,Pop,jazz; vocal jazz; easy listening; swing; pop,musicbrainz
Rudolph The Red-Nosed Reindeer,Gene Autry & The Pinafores,16,1,2025-01-04,Unknown,No genre data,none
25,Rod Wave,16,4,2025-01-04,Unknown,No genre data,none
"Dum, Dumb, And Dumber","Lil Baby, Young Thug & Future",16,4,2025-01-18,Unknown,No genre data,none
Sports Car,Tate McRae,16,23,2025-02-08,R&B,pop; 2020s; dance-pop; alternative pop; contemporary r&b,musicbrainz
Undressed,sombr,16,27,2025-04-19,Pop,indie pop; offizielle charts; 5+ wochen,musicbrainz
Eternity,Alex Warren,16,14,2025-08-02,Offizielle Charts,offizielle charts; 5+ wochen,musicbrainz
It Depends,Chris Brown Featuring Bryson Tiller,16,17,2025-08-09,Unknown,No genre data,none
Choosin' Texas,Ella Langley,16,5,2025-11-01,Country,country,musicbrainz
Whatchu Kno About Me,Glorilla & Sexyy Red,17,12,2025-01-04,Hip Hop/Rap,southern hip hop; hip hop; trap,musicbrainz
Wildflower,Billie Eilish,17,44,2025-01-11,Electronic/Dance,electronic; pop; singer-songwriter; alternative; indie pop,musicbrainz
Guy For That,Post Malone Featuring Luke Combs,17,8,2025-01-11,Unknown,No genre data,none
Voy A Llevarte Pa PR,Bad Bunny,17,13,2025-01-18,Hip Hop/Rap,reggaeton; latin; latin trap; trap latino; hip hop,musicbrainz
Fat Juicy & Wet,Sexyy Red & Bruno Mars,17,7,2025-02-08,Hip Hop/Rap,hip hop; trap,musicbrainz
Good Credit,Playboi Carti & Kendrick Lamar,17,2,2025-03-29,Unknown,No genre data,none
I'm A Little Crazy,Morgan Wallen,17,17,2025-04-05,Country,country; country pop,musicbrainz
Mystical Magical,Benson Boone,17,27,2025-05-10,Rock,pop; pop rock; 2020s,musicbrainz
Yukon,Justin Bieber,17,19,2025-07-26,R&B,alternative r&b; bedroom pop,musicbrainz
When Did You Get Hot?,Sabrina Carpenter,17,12,2025-09-13,Pop,pop; 2020s; dance-pop; electropop,musicbrainz
Blue Christmas,Elvis Presley,18,1,2025-01-04,Country,rockabilly; rock and roll; country; pop; rock,musicbrainz
Please Come Home For Christmas,Eagles,18,1,2025-01-04,Country,rock; country rock; classic rock; folk rock; soft rock,musicbrainz
Happy Holiday / The Holiday Season,Andy Williams,18,1,2025-01-04,Jazz/Blues,christmas music; easy listening; easy listening soundtracks and musicals; jazz,musicbrainz
Weren't For The Wind,Ella Langley,18,24,2025-02-08,Country,country,musicbrainz
CN Tower,PARTYNEXTDOOR & Drake,18,3,2025-03-01,Unknown,No genre data,none
Twilight Zone,Ariana Grande,18,18,2025-04-12,Hip Hop/Rap,pop; r&b; dance-pop; contemporary r&b; trap soul,musicbrainz
Go Baby,Justin Bieber,18,3,2025-07-26,R&B,alternative pop; pop soul; contemporary r&b,musicbrainz
So Easy (To Fall In Love),Olivia Dean,18,8,2025-10-11,R&B,2020s; indie pop; neo soul; pop soul,musicbrainz
Stargazing,Myles Smith,19,20,2025-01-11,Pop,pop,musicbrainz
"I Love You, I'm Sorry",Gracie Abrams,19,1,2025-01-11,Pop,folk pop; pop; bedroom pop; singer-songwriter; 2020s,musicbrainz
Sorry I'm Here For Someone Else,Benson Boone,19,32,2025-03-15,Rock,pop; pop rock; 2020s,musicbrainz
Santa Baby,Eartha Kitt With Henri Rene And His Orchestra,20,1,2025-01-04,Jazz/Blues,jazz; holiday; christmas music; christmas/holiday,musicbrainz
It's Ok I'm Ok,Tate McRae,20,6,2025-01-04,Pop,dance-pop; pop; dance pop; dance; electropop,lastfm
Worst Way,Riley Green,20,35,2025-02-15,Unknown,No genre data,none
Crush,Playboi Carti & Travis Scott,20,2,2025-03-29,Unknown,No genre data,none
20 Cigarettes,Morgan Wallen,20,26,2025-05-31,Country,country,musicbrainz
Sugar Talking,Sabrina Carpenter,20,4,2025-09-13,Pop,pop; 2020s; dance-pop; electropop,musicbrainz
Here Comes Santa Claus (Right Down Santa Claus Lane),Gene Autry,21,1,2025-01-04,Christmas,christmas,musicbrainz
Denial Is A River,Doechii,21,19,2025-01-18,Hip Hop/Rap,hip hop; pop rap,musicbrainz
Die Trying,"PARTYNEXTDOOR, Drake & Yebba",21,12,2025-03-01,R&B,alternative r&b; canadian; contemporary r&b; partynextdoor; r&b,musicbrainz
Kick Myself,Morgan Wallen,21,6,2025-05-31,Country,country; country pop,musicbrainz
Miami,Morgan Wallen Featuring Lil Wayne & Rick Ross,21,10,2025-05-31,Unknown,No genre data,none
Takedown,"HUNTR/X: EJAE, Audrey Nuna & REI AMI",21,20,2025-07-12,Pop,pop; k-pop; offizielle charts; 5+ wochen,musicbrainz
All I Can Take,Justin Bieber,21,1,2025-07-26,R&B,alternative pop; contemporary r&b,musicbrainz
High Road,Koe Wetzel & jessie murph,22,12,2025-01-04,Country,country; country rock; outlaw country,musicbrainz
Sailor Song,Gigi Perez,22,21,2025-01-04,Rock,rock and roll over; indie folk; folk; pop; indie,lastfm
Tu Boda,Oscar Maydon & Fuerza Regida,22,11,2025-01-04,Unknown,No genre data,none
No One Noticed,The Marias,22,29,2025-01-04,Pop,dream pop; indie pop; 2020s; lo-fi; psychedelic pop,musicbrainz
Juno,Sabrina Carpenter,22,2,2025-01-11,Pop,pop; 2020s; dance-pop; electropop,musicbrainz
Revolving Door,Tate McRae,22,27,2025-03-08,R&B,pop; 2020s; dance-pop; alternative pop; contemporary r&b,musicbrainz
Eyes Are Closed,Morgan Wallen,22,7,2025-05-31,Country,country; country pop,musicbrainz
Back In The Saddle,Luke Combs,22,17,2025-08-09,Country,country,musicbrainz
Velda,"Bad Bunny, Omar Courtz & Dei V",23,7,2025-01-18,Unknown,No genre data,none
Free,"Rumi, JINU, EJAE & Andrew Choi",23,20,2025-07-12,Unknown,No genre data,none
Which One,Drake & Central Cee,23,12,2025-08-09,Hip Hop/Rap,hip hop; r&b; contemporary r&b; pop rap; alternative r&b,musicbrainz
I Never Lie,Zach Top,24,21,2025-01-04,Country,country,musicbrainz
EOO,Bad Bunny,24,30,2025-01-18,Pop,reggaeton; king of pop; rey del pop,lastfm
The Greatest,Billie Eilish,24,1,2025-02-22,R&B,alternative pop; electropop; dark pop; pop; alternative r&b,musicbrainz
Go Go Juice,Sabrina Carpenter,24,4,2025-09-13,Pop,pop; 2020s; dance-pop; electropop,musicbrainz
Little Saint Nick,The Beach Boys,25,1,2025-01-04,Rock,surf rock; pop; sunshine pop; pop rock; psychedelic pop,musicbrainz
Backd00r,Playboi Carti Featuring Kendrick Lamar & Jhene Aiko,25,2,2025-03-29,Unknown,No genre data,none
Burning Blue,Mariah the Scientist,25,26,2025-05-17,R&B,contemporary r&b; r&b; r&b/soul,musicbrainz
Falling Apart,Morgan Wallen,25,5,2025-05-31,Country,country,musicbrainz
"Courtesy Of The Red, White And Blue (The Angry American)",Toby Keith,25,1,2025-07-19,Country,country; contemporary country,musicbrainz
Wonderful Christmastime,Paul McCartney,26,1,2025-01-04,Rock,pop; pop rock; british; rock; rock & roll,musicbrainz
Something About You,PARTYNEXTDOOR & Drake,26,3,2025-03-01,Unknown,No genre data,none
Safe,Cardi B Featuring Kehlani,26,9,2025-10-04,Unknown,No genre data,none
This Is Halloween,The Citizens of Halloween,26,2,2025-11-08,Electronic/Dance,soundtrack; score; electronic; classical; pop,musicbrainz
Disease,Lady Gaga,27,2,2025-01-11,Electronic/Dance,electropop; pop; futurepop; dance-pop; electronic,lastfm
El Club,Bad Bunny,27,7,2025-01-11,Unknown,No genre data,none
Busy Woman,Sabrina Carpenter,27,16,2025-03-01,Pop,pop; 2020s; dance-pop; electropop,musicbrainz
Somebody Loves Me,"PARTYNEXTDOOR, Drake & Cash Cobain",27,22,2025-03-01,Unknown,No genre data,none
Mojo Jojo,Playboi Carti,27,1,2025-03-29,Hip Hop/Rap,trap; southern hip hop; hardcore hip hop; memphis rap; rap,lastfm
House Tour,Sabrina Carpenter,27,5,2025-09-13,R&B,dance-pop; contemporary r&b; synth funk,musicbrainz
Philly,Playboi Carti & Travis Scott,28,2,2025-03-29,Hip Hop/Rap,hip hop; trap; rap; southern hip hop; cloud rap,musicbrainz
Dark Thoughts,Lil Tecca,28,17,2025-03-29,Hip Hop/Rap,rap; cloud rap,lastfm
Azizam,Ed Sheeran,28,14,2025-04-19,Pop,pop; linedance 2025,lastfm
Happen To Me,Russell Dickerson,28,31,2025-05-03,Unknown,No genre data,none
Jump,BLACKPINK,28,10,2025-07-26,Electronic/Dance,dance; k-pop; edm; hard techno; offizielle charts,musicbrainz
"Mama, I'm Coming Home",Ozzy Osbourne,28,2,2025-08-02,Rock,heavy metal; hard rock; glam metal; british; pop rock,musicbrainz
Jealous Type,Doja Cat,28,13,2025-09-06,Hip Hop/Rap,pop; hip hop; pop rap,musicbrainz
BMF,SZA,29,20,2025-01-04,R&B,contemporary r&b; r&b; alternative r&b; american; electronic,musicbrainz
Like Him,"Tyler, the Creator Featuring Lola Young",29,20,2025-01-04,Unknown,No genre data,none
High Road,Zach Bryan,29,1,2025-01-11,Country,country; alternative country; americana; red dirt,musicbrainz
Tweaker,GELO,29,13,2025-01-18,Unknown,No genre data,none
Moth Balls,PARTYNEXTDOOR & Drake,29,2,2025-03-01,Unknown,No genre data,none
"Skoal, Chevy, And Browning",Morgan Wallen,29,5,2025-05-31,Country,country,musicbrainz
Bad Dreams,Teddy Swims,30,20,2025-01-11,Pop,pop; offizielle charts; 5+ wochen,musicbrainz
Backup Plan,Bailey Zimmerman & Luke Combs,30,20,2025-05-17,Unknown,No genre data,none
6 Months Later,Megan Moroney,30,22,2025-07-05,Country,country,musicbrainz
Never Getting Laid,Sabrina Carpenter,30,3,2025-09-13,Rock,yacht rock,musicbrainz
Dracula,Tame Impala,30,8,2025-10-11,Rock,dance-pop; rock; electronic; pop; indie rock,musicbrainz
Christmastime Is Here,Vince Guaraldi Trio,31,1,2025-01-04,Jazz/Blues,jazz,musicbrainz
"You're A Mean One, Mr. Grinch",Thurl Ravenscroft,31,1,2025-01-04,Unknown,No genre data,none
Wind Up Missin' You,Tucker Wetmore,31,5,2025-01-04,Country,country,musicbrainz
Liar,Jelly Roll,31,12,2025-01-04,Hip Hop/Rap,country rap; hip hop; r&b,musicbrainz
Perfumito Nuevo,Bad Bunny & RaiNao,31,5,2025-01-18,Unknown,No genre data,none
Deeper,PARTYNEXTDOOR,31,3,2025-03-01,Hip Hop/Rap,alternative rnb; trapsoul,lastfm
TN,Morgan Wallen,31,15,2025-05-31,Country,country; country pop,musicbrainz
Gabriela,KATSEYE,31,18,2025-07-05,Pop,pop; latin; latin pop; latinas,lastfm
We Almost Broke Up Again Last Night,Sabrina Carpenter,31,3,2025-09-13,Unknown,No genre data,none
Weltita,Bad Bunny & Chuwi,32,6,2025-01-18,Unknown,No genre data,none
Where'd That Girl Go,Morgan Wallen,32,6,2025-05-31,Country,country,musicbrainz
Bloodline,Alex Warren With Jelly Roll,32,13,2025-06-07,Pop,pop,musicbrainz
Bottle Rockets,Scotty McCreery & Hootie & The Blowfish,32,20,2025-07-05,Country,american idol; country,musicbrainz
Again,Fetty Wap,33,1,2025-02-15,Hip Hop/Rap,hip hop; pop rap; trap rap; 2010s; contemporary r&b,musicbrainz
Fine Shit,Playboi Carti,33,2,2025-03-29,Hip Hop/Rap,pop rap; trap; alternative rnb; hip hop; rap,lastfm
Just Keep Watching,Tate McRae,33,20,2025-06-14,Unknown,No genre data,none
Way It Is,Justin Bieber & Gunna,33,1,2025-07-26,R&B,alternative pop; alternative r&b,musicbrainz
Big Poe,"Tyler, the Creator Featuring Sk8brd",33,2,2025-08-02,Unknown,No genre data,none
Don't Mind If I Do,Riley Green Featuring Ella Langley,33,16,2025-08-16,Unknown,No genre data,none
Goodbye,Sabrina Carpenter,33,4,2025-09-13,Pop,europop,musicbrainz
Romantic Homicide,d4vd,33,1,2025-10-04,R&B,2020s; alternative r&b; contemporary r&b; indie pop,musicbrainz
This Christmas,Donny Hathaway,34,1,2025-01-04,R&B,holiday; soul; christmas; christmas music; christmas/holiday,musicbrainz
Que Pasaria...,Rauw Alejandro & Bad Bunny,34,15,2025-01-04,Unknown,No genre data,none
Am I Okay?,Megan Moroney,34,24,2025-01-11,Country,country,musicbrainz
Toxic,Playboi Carti & Skepta,34,2,2025-03-29,Unknown,No genre data,none
Caramel,Sleep Token,34,5,2025-04-19,Rock,alternative metal; rock; progressive metal; alternative pop,musicbrainz
Kiss Her In Front Of You,Morgan Wallen,34,6,2025-05-31,Country,country; country pop,musicbrainz
Spider-Man Superman,PARTYNEXTDOOR & Drake,35,2,2025-03-01,Unknown,No genre data,none
After All The Bars Are Closed,Thomas Rhett,35,21,2025-05-10,Country,country; contemporary country; country pop,musicbrainz
Things You Do,Justin Bieber,35,1,2025-07-26,Pop,bedroom pop,musicbrainz
Hell At Night,BigXthaPlug Featuring Ella Langley,35,15,2025-08-23,Unknown,No genre data,none
Fear,NF,35,1,2025-11-29,Offizielle Charts,offizielle charts,musicbrainz
Baby It's Cold Outside,Dean Martin,36,1,2025-01-04,Unknown,No genre data,none
What Was That,Lorde,36,4,2025-05-10,Pop,pop; alternative pop; indie pop; synth-pop; art pop,musicbrainz
Hip-Hop,Lil Wayne & BigXthaPlug Featuring Jay Jones,36,2,2025-06-21,Unknown,No genre data,none
No Broke Boys,Disco Lines & Tinashe,36,19,2025-07-19,Unknown,No genre data,none
Holly Jolly Christmas,Michael Buble,37,1,2025-01-04,Jazz/Blues,jazz fusion,lastfm
I'm Gonna Love You,Cody Johnson & Carrie Underwood,37,14,2025-01-04,Country,country,musicbrainz
Crying In Chanel,Drake,37,1,2025-03-01,Hip Hop/Rap,hip hop; funk; soul; pop rap; contemporary r&b,musicbrainz
Bar None,Jordan Davis,37,18,2025-07-12,Country,country; country pop,musicbrainz
Walking Away,Justin Bieber,37,2,2025-07-26,Pop,pop; teen pop; 2010s; 2020s; dance-pop,musicbrainz
Magnet,Cardi B,37,4,2025-10-04,Hip Hop/Rap,hip hop; alternative pop; east coast hip hop; pop; hardcore hip hop,musicbrainz
Merry Christmas,Ed Sheeran & Elton John,38,1,2025-01-04,Rock,electronic; pop; pop rock,musicbrainz
Ketu Tecre,Bad Bunny,38,4,2025-01-18,Hip Hop/Rap,reggaeton; latin; latin trap; trap latino; hip hop,musicbrainz
K Pop,Playboi Carti,38,1,2025-03-29,Hip Hop/Rap,hip hop; trap; rap; southern hip hop; cloud rap,musicbrainz
Dandelion,Ariana Grande,38,3,2025-04-12,Electronic/Dance,pop; electronic; downtempo; funk; vocal,musicbrainz
Intro (End Of The World),Ariana Grande,38,2,2025-04-12,Hip Hop/Rap,pop; r&b; dance-pop; contemporary r&b; trap soul,musicbrainz
Pixelated Kisses,Joji,38,4,2025-10-25,Hip Hop/Rap,lo-fi hip hop; ballad; r&b/soul; alt-pop; alternative r&b,musicbrainz
Lover Girl,Megan Thee Stallion,38,2,2025-11-08,Hip Hop/Rap,hip hop; pop rap; southern hip hop; english; rap,musicbrainz
Like It's Christmas,Jonas Brothers,39,1,2025-01-04,Unknown,No genre data,none
Money On Money,Young Thug Featuring Future,39,3,2025-05-10,Unknown,No genre data,none
Somewhere Over Laredo,Lainey Wilson,39,20,2025-06-07,Unknown,No genre data,none
Crazy Train,Ozzy Osbourne,39,2,2025-08-02,Rock,heavy metal; hard rock; glam metal; british; pop rock,musicbrainz
Don't Worry I'll Make You Worry,Sabrina Carpenter,39,2,2025-09-13,Country,country pop,musicbrainz
Indigo,Sam Barber Featuring Avery Anna,40,30,2025-01-04,Unknown,No genre data,none
Residuals,Chris Brown,40,19,2025-01-04,R&B,pop; contemporary r&b; 2000s; 2010s; dance,musicbrainz
Kloufrens,Bad Bunny,40,5,2025-01-18,Hip Hop/Rap,reggaeton; latin; latin trap; trap latino; hip hop,musicbrainz
Hard Fought Hallelujah,Brandon Lake X Jelly Roll,40,26,2025-02-22,Unknown,No genre data,none
Small Town Fame,Drake,40,2,2025-03-01,Hip Hop/Rap,hip hop,musicbrainz
Killin' It Girl,J-Hope & Glorilla,40,2,2025-06-28,Unknown,No genre data,none
wgft,Gunna Featuring Burna Boy,40,15,2025-08-23,Unknown,No genre data,none
The Dead Dance,Lady Gaga,40,11,2025-09-20,Rock,pop; dance-pop; electropop; pop rock; electronic,musicbrainz
Scorsese Baby Daddy,SZA,41,5,2025-01-04,R&B,indie rock; pop rock; soul; indie; yacht rock,lastfm
2 Hands,Tate McRae,41,1,2025-03-08,R&B,pop; 2020s; dance-pop; alternative pop; contemporary r&b,musicbrainz
Pop Out,Playboi Carti,41,1,2025-03-29,Hip Hop/Rap,industrial hip hop; trap metal; southern hip hop; trap; rap,lastfm
If You Were Mine,Morgan Wallen,41,5,2025-05-31,Country,country; country pop,musicbrainz
Sugar On My Tongue,"Tyler, the Creator",41,18,2025-08-02,Hip Hop/Rap,hip hop; hardcore hip hop; horrorcore; west coast hip hop,musicbrainz
12 To 12,sombr,41,14,2025-08-16,Rock,rock; pop; pop rock,lastfm
Bokete,Bad Bunny,42,4,2025-01-18,Hip Hop/Rap,reggaeton; latin; latin trap; trap latino; hip hop,musicbrainz
Missing,Morgan Wallen,42,4,2025-05-31,Country,country,musicbrainz
Typa,Glorilla,42,14,2025-06-21,Hip Hop/Rap,southern hip hop; hip hop; trap,musicbrainz
Chains & Whips,Clipse Featuring Kendrick Lamar,42,2,2025-07-26,Unknown,No genre data,none
Snowman,Sia,43,1,2025-01-04,Pop,pop; electropop; dance-pop; indie pop; alternative pop,musicbrainz
Loco,Neton Vega,43,20,2025-01-11,Corrido Tumbado,corrido tumbado; regional mexicano,musicbrainz
Sao Paulo,The Weeknd & Anitta,43,2,2025-02-15,R&B,r&b; alternative r&b; contemporary r&b; dance-pop; synth-pop,musicbrainz
Raining In Houston,Drake,43,2,2025-03-01,Hip Hop/Rap,hip hop; r&b; contemporary r&b; pop rap; alternative r&b,musicbrainz
I Know Love,Tate McRae Featauring The Kid LAROI,43,2,2025-03-08,Unknown,No genre data,none
Radar,Playboi Carti,43,1,2025-03-29,Hip Hop/Rap,hip hop; trap; rap; southern hip hop; cloud rap,musicbrainz
Shot Callin,YoungBoy Never Broke Again,43,10,2025-09-27,Hip Hop/Rap,hip hop; southern hip hop; trap; gangsta rap; pop rap,musicbrainz
Pretty & Petty,Cardi B,43,4,2025-10-04,Hip Hop/Rap,hip hop; alternative pop; east coast hip hop; pop; hardcore hip hop,musicbrainz
ErrTime,Cardi B,43,8,2025-10-04,Hip Hop/Rap,hip hop; alternative pop; east coast hip hop; pop; hardcore hip hop,musicbrainz
Defying Gravity,Cynthia Erivo Featuring Ariana Grande,44,6,2025-01-04,Unknown,No genre data,none
By Myself,Lil Baby & Rylo Rodriguez Featuring Rod Wave,44,2,2025-01-18,Unknown,No genre data,none
Dear God,Tate McRae,44,2,2025-03-08,Pop,pop; vocal,musicbrainz
Shake It To The Max (Fly),"MOLIY, Silent Addy, Skillibeng & Shenseea",44,21,2025-05-31,Unknown,No genre data,none
Ring Ring Ring,"Tyler, the Creator",44,6,2025-08-02,Hip Hop/Rap,hip hop; hardcore hip hop; horrorcore; west coast hip hop,musicbrainz
4x4xU,Lainey Wilson,45,14,2025-01-04,Country,country,musicbrainz
Turista,Bad Bunny,45,4,2025-01-18,Hip Hop/Rap,folk trap; latin; reggaeton,lastfm
Wake Me Up,The Weeknd & Justice,45,1,2025-02-15,Unknown,No genre data,none
Pimmie's Dilemma,"Pimmie, PARTYNEXTDOOR & Drake",45,2,2025-03-01,Unknown,No genre data,none
A N X I E T Y,Sleepy Hallow Featuring Doechii,45,2,2025-03-15,Unknown,No genre data,none
Is It A Crime,Mariah the Scientist & Kali Uchis,45,15,2025-08-16,R&B,contemporary r&b; r&b; r&b/soul,musicbrainz
Pick It Up,Cardi B Featuring Selena Gomez,45,2,2025-10-04,Unknown,No genre data,none
Baptized In Fear,The Weeknd,46,2,2025-02-15,Hip Hop/Rap,electronic; pop; hip hop; funk; soul,musicbrainz
Call Me When You Break Up,"Selena Gomez, Benny Blanco & Gracie Abrams",46,8,2025-03-08,Unknown,No genre data,none
Trim,Playboi Carti & Future,46,1,2025-03-29,Hip Hop/Rap,hip hop; trap; rap; southern hip hop; cloud rap,musicbrainz
Genesis,Morgan Wallen,46,3,2025-05-31,Country,country; country pop,musicbrainz
Just Say Dat,Gunna,46,2,2025-08-23,Unknown,No genre data,none
Hello,Cardi B,46,2,2025-10-04,Hip Hop/Rap,hip hop; alternative pop; east coast hip hop; pop; hardcore hip hop,musicbrainz
Help Me,Real Boston Richey,47,7,2025-01-04,Unknown,No genre data,none
Brian Steel,Drake,47,1,2025-03-01,Hip Hop/Rap,hip hop,musicbrainz
House Again,Hudson Westbrook,47,31,2025-05-03,Unknown,No genre data,none
Damocles,Sleep Token,47,2,2025-05-10,Rock,rock; progressive metal; alternative metal; pop rock,musicbrainz
Dead,Cardi B Featuring Summer Walker,47,2,2025-10-04,Unknown,No genre data,none
Where Is My Husband!,RAYE,47,8,2025-10-11,Offizielle Charts,offizielle charts; 5+ wochen,musicbrainz
Winter Wonderland,Darlene Love,48,1,2025-01-04,Pop,likedis auto; pop,musicbrainz
Cafe Con Ron,Bad Bunny & Los Pleneros de La Cresta,48,4,2025-01-18,Unknown,No genre data,none
Me Jalo,Fuerza Regida & Grupo Frontera,48,20,2025-02-08,Unknown,No genre data,none
Open Hearts,The Weeknd,48,2,2025-02-15,Hip Hop/Rap,electronic; pop; hip hop; funk; soul,musicbrainz
HBA,Playboi Carti,48,1,2025-03-29,Hip Hop/Rap,hip hop; trap; rap; southern hip hop; cloud rap,musicbrainz
Don't We,Morgan Wallen,48,5,2025-05-31,Country,country; country pop,musicbrainz
Sucka Free,"Tyler, the Creator",48,2,2025-08-02,Hip Hop/Rap,hip hop; hardcore hip hop; horrorcore; west coast hip hop,musicbrainz
Think I'm In Love With You,Chris Stapleton,49,7,2025-01-04,Country,country; bluegrass; outlaw country; singer-songwriter; southern rock,musicbrainz
Close To You,Gracie Abrams,49,2,2025-01-11,Pop,folk pop; pop; bedroom pop; singer-songwriter; 2020s,musicbrainz
Charge Dem Hoes A Fee,"Playboi Carti, Future & Travis Scott",49,1,2025-03-29,Unknown,No genre data,none
