title,artist,peak_position,total_weeks,first_chart_date,main_genre,all_genres,genre_source
I Can't Wait To Get There,The Weeknd,82,1,2025-02-15,Hip Hop/Rap,electronic; pop; hip hop; funk; soul,musicbrainz
Easy Lover,Miley Cyrus,82,1,2025-06-14,Rock,rock; pop; vocal; funk rock; art rock,musicbrainz
This Heart,Corey Kent,82,3,2025-07-05,Country,country,musicbrainz
FWU,Don Toliver,82,1,2025-07-12,Hip Hop/Rap,alternative r&b; hip hop; trap,musicbrainz
Tell Me What It Is,"Tyler, the Creator",82,1,2025-08-02,Hip Hop/Rap,hip hop; hardcore hip hop; horrorcore; west coast hip hop,musicbrainz
Frecuencia,Dareyes de La Sierra,82,9,2025-08-02,Latin,latin; norteño; regional mexicano,musicbrainz
Breakin' Dishes,Rihanna,82,8,2025-09-27,R&B,pop; dance; r&b,lastfm
Nice To Each Other,Olivia Dean,82,6,2025-10-11,R&B,2020s; indie pop; neo soul; pop soul,musicbrainz
The Days,CHRYSTAL,83,6,2025-01-25,Electronic/Dance,house,musicbrainz
Glorious,PARTYNEXTDOOR & Drake,83,1,2025-03-01,Hip Hop/Rap,hip hop; funk; soul; pop rap; contemporary r&b,musicbrainz
LV Bag,"Don Toliver, J-Hope, Pharrell Williams & Speedy",83,1,2025-03-08,Unknown,No genre data,none
like JENNIE,JENNIE,83,3,2025-03-22,Funk Mandelao,funk mandelao; funk automotivo; funk; brazilian funk,lastfm
1000 Times,Lil Durk Featuring Lil Baby,83,1,2025-04-12,Unknown,No genre data,none
Morena,Neton Vega & Peso Pluma,83,6,2025-04-12,Corrido Tumbado,corrido tumbado; regional mexicano,musicbrainz
Whiskey In Reverse,Morgan Wallen,83,1,2025-05-31,Country,country; country pop,musicbrainz
Glory Voice Memo,Justin Bieber,83,1,2025-07-26,R&B,bedroom pop; pop soul; psychedelic soul,musicbrainz
City Walls,Twenty One Pilots,83,1,2025-09-27,Rock,alternative rock,musicbrainz
Brokey,Latto,84,1,2025-01-11,Hip Hop/Rap,pop rap; trap,musicbrainz
7 Dias,Gabito Ballesteros & Tito Double P,84,2,2025-02-15,Unknown,No genre data,none
Couldn't Make It Any Harder,Sabrina Carpenter,84,1,2025-03-01,Unknown,No genre data,none
Can't Hide It,Lil Durk Featuring Jhene Aiko,84,1,2025-04-12,Unknown,No genre data,none
Working Man's Song,Morgan Wallen,84,1,2025-05-31,Country,country; country pop,musicbrainz
Dadz Love,Justin Bieber & Lil B,84,1,2025-07-26,Unknown,No genre data,none
1965,jessie murph,84,1,2025-08-02,Country,2020s; country pop; country soul,musicbrainz
Park,Tyler Hubbard,84,2,2025-08-09,Country,country,musicbrainz
5 Dollar Pony Rides,Mac Miller,85,1,2025-02-01,Unknown,No genre data,none
Zombieboy,Lady Gaga,85,1,2025-03-22,Pop,dance-pop; synth funk; pop; power pop,lastfm
Dis 1 Got It,Playboi Carti,85,1,2025-03-29,Hip Hop/Rap,hip hop; trap; rap; southern hip hop; cloud rap,musicbrainz
Better Than You,Cardi B Featuring Cash Cobain,85,1,2025-10-04,Unknown,No genre data,none
Give Me A Reason,NF,85,1,2025-11-29,Hip Hop/Rap,rap; hip hop; rapper; pop rap,musicbrainz
Stiff Gang,Lil Baby,86,1,2025-01-18,Hip Hop/Rap,hip hop; english; rap; southern hip hop; trap,musicbrainz
Overly,Playboi Carti,86,1,2025-03-29,Hip Hop/Rap,hip hop; trap; rap; southern hip hop; cloud rap,musicbrainz
Back To Me,The Marias,86,1,2025-04-19,Pop,dream pop; indie pop; 2020s; lo-fi; psychedelic pop,musicbrainz
You Had To Be There,Megan Moroney & Kenny Chesney,86,1,2025-05-24,Country,country,musicbrainz
405,Justin Bieber,86,1,2025-07-26,R&B,alternative pop; liquid drum and bass; alternative r&b,musicbrainz
Lost,Bailey Zimmerman & The Kid LAROI,86,1,2025-08-23,Unknown,No genre data,none
Home,NF,86,1,2025-11-29,Hip Hop/Rap,rap; hip hop; rapper; pop rap,musicbrainz
Bad Reviews,Sabrina Carpenter,87,1,2025-03-01,Pop,pop; 2020s; dance-pop; electropop,musicbrainz
Proud Of Me,Fridayy & Meek Mill,87,1,2025-03-22,R&B,r&b; soul,musicbrainz
